Index, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50
N, 1000, 2000, 3000, 4000, 5000, 6000, 7000, 8000, 9000, 10000, 11000, 12000, 13000, 14000, 15000, 16000, 17000, 18000, 19000, 20000, 21000, 22000, 23000, 24000, 25000, 26000, 27000, 28000, 29000, 30000, 31000, 32000, 33000, 34000, 35000, 36000, 37000, 38000, 39000, 40000, 41000, 42000, 43000, 44000, 45000, 46000, 47000, 48000, 49000, 50000
Time, 2213, 3319, 4208, 5386, 5632, 6293, 6680, 6903, 7354, 7605, 9038, 8662, 8611, 9203, 10057, 9851, 10423, 10265, 11149, 10813, 11743, 12264, 12878, 13777, 13994, 12771, 13497, 13836, 14402, 14931, 15220, 15117, 14804, 15842, 14938, 17325, 16639, 16498, 16534, 16607, 16881, 17003, 18345, 18512, 17256, 20356, 19355, 18580, 18317, 19287
