Index, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30
Dimension, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30
Time, 18836, 28429, 34947, 43282, 52759, 66069, 70725, 86436, 94381, 102481, 105232, 119042, 131823, 139438, 145755, 94390, 130928, 125466, 143615, 150276, 148001, 170476, 173370, 225629, 263651, 267989, 241639, 261773, 263918, 266240
