Index, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30
Dimension, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30
Time, 106741, 20387, 17590, 20516, 21178, 31093, 43368, 50955, 125301, 146216, 179516, 181877, 206882, 229929, 246448, 202468, 244418, 257640, 304702, 319585, 340898, 283988, 407917, 313315, 494367, 387415, 546048, 363581, 575462, 439508
