Index, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30
K, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300
Time, 7888, 12157, 13274, 17299, 17738, 19201, 21342, 21704, 23640, 26421, 26323, 27781, 27574, 30065, 33333, 35928, 35542, 35362, 37495, 37205, 38910, 40216, 37590, 38087, 39769, 41748, 38723, 35922, 45456, 48724
