Index, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
Dimension, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
Time, 2601, 20862, 62029, 80536, 92449, 102067, 133837, 134562, 155998, 157978, 173627, 210031, 233872, 302961, 476429
