Index, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30
K, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300
Time, 104662, 111050, 113613, 110474, 115414, 116863, 117591, 116210, 114824, 117150, 121939, 122882, 125005, 124454, 123862, 125841, 131918, 126200, 131808, 132098, 131924, 136883, 133394, 136530, 138810, 139722, 132167, 136841, 134156, 136899
