Index, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50
N, 1000, 2000, 3000, 4000, 5000, 6000, 7000, 8000, 9000, 10000, 11000, 12000, 13000, 14000, 15000, 16000, 17000, 18000, 19000, 20000, 21000, 22000, 23000, 24000, 25000, 26000, 27000, 28000, 29000, 30000, 31000, 32000, 33000, 34000, 35000, 36000, 37000, 38000, 39000, 40000, 41000, 42000, 43000, 44000, 45000, 46000, 47000, 48000, 49000, 50000
Time, 17535, 32800, 46464, 59003, 74684, 86820, 98050, 111288, 124634, 137521, 144935, 163808, 176780, 186704, 198685, 209026, 220162, 234208, 244659, 261289, 268226, 276641, 288268, 304573, 314139, 320909, 345743, 349588, 361420, 379247, 390570, 394327, 396104, 432887, 417065, 443467, 455761, 459200, 478949, 504230, 492744, 516620, 566309, 596753, 572967, 602736, 583850, 632457, 614985, 644397
