Index, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30
K, 10, 20, 30, 40, 50, 60, 70, 80, 90, 100, 110, 120, 130, 140, 150, 160, 170, 180, 190, 200, 210, 220, 230, 240, 250, 260, 270, 280, 290, 300
Time, 137869, 154596, 166068, 172656, 183763, 188162, 199155, 205348, 213075, 220477, 223942, 227692, 234035, 241894, 245880, 252485, 254300, 255631, 261006, 270376, 271979, 276144, 281773, 286335, 289967, 294334, 294066, 302771, 303668, 310426
