Index, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50
N, 1000, 2000, 3000, 4000, 5000, 6000, 7000, 8000, 9000, 10000, 11000, 12000, 13000, 14000, 15000, 16000, 17000, 18000, 19000, 20000, 21000, 22000, 23000, 24000, 25000, 26000, 27000, 28000, 29000, 30000, 31000, 32000, 33000, 34000, 35000, 36000, 37000, 38000, 39000, 40000, 41000, 42000, 43000, 44000, 45000, 46000, 47000, 48000, 49000, 50000
Time, 9267, 17702, 26315, 35457, 41484, 49356, 58282, 63360, 78254, 79340, 88195, 93162, 111669, 107208, 122567, 125112, 140378, 156756, 167808, 182988, 186702, 183546, 193792, 214152, 215429, 231524, 223838, 235891, 248126, 263503, 268281, 278065, 283963, 329679, 376409, 352296, 334399, 378440, 381670, 359613, 403968, 385721, 402860, 430086, 414689, 485871, 431240, 459259, 500601, 526763
