Index, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100
N, 1000, 2000, 3000, 4000, 5000, 6000, 7000, 8000, 9000, 10000, 11000, 12000, 13000, 14000, 15000, 16000, 17000, 18000, 19000, 20000, 21000, 22000, 23000, 24000, 25000, 26000, 27000, 28000, 29000, 30000, 31000, 32000, 33000, 34000, 35000, 36000, 37000, 38000, 39000, 40000, 41000, 42000, 43000, 44000, 45000, 46000, 47000, 48000, 49000, 50000, 51000, 52000, 53000, 54000, 55000, 56000, 57000, 58000, 59000, 60000, 61000, 62000, 63000, 64000, 65000, 66000, 67000, 68000, 69000, 70000, 71000, 72000, 73000, 74000, 75000, 76000, 77000, 78000, 79000, 80000, 81000, 82000, 83000, 84000, 85000, 86000, 87000, 88000, 89000, 90000, 91000, 92000, 93000, 94000, 95000, 96000, 97000, 98000, 99000, 100000
Time, 11398, 21736, 32212, 42422, 52634, 62246, 72694, 82653, 94056, 102682, 110760, 121035, 125978, 135755, 142737, 156329, 170201, 186735, 185408, 193592, 203100, 217074, 216789, 222593, 234421, 245583, 251265, 258674, 274873, 287033, 295724, 320015, 331152, 320133, 322122, 322677, 331663, 342540, 367315, 390625, 400233, 389902, 409600, 414866, 445132, 436125, 443480, 454381, 460560, 463692, 466874, 478295, 483760, 479144, 498817, 515533, 533710, 539410, 553818, 571360, 589740, 563978, 577603, 574875, 587495, 586957, 610299, 624210, 640964, 631274, 649611, 648990, 637264, 662827, 683677, 687066, 699851, 707440, 717133, 741278, 718359, 742754, 752923, 771689, 772126, 776229, 781523, 789396, 801825, 803798, 851186, 839297, 821643, 853371, 863462, 878275, 892171, 885857, 893417, 927090
